Region,HEI (Higher Education Institution),Degree Type,Program Name,Program Major,COPC Details
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Arts in English Language,,015 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Arts in Philosophy,,005 s. 2019
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Arts in Social Science,,004 s. 2019
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Arts in Sociology,,013 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Early Childhood Education,,001 s. 2021
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Elementary Education,General Education,005 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Physical Education,,014 s. 2020
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor in Public Administration,,001 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Accountancy,,014 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Automotive Technology,,002 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Biology,Biotechnology,044 s. 2022
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Business Administration,Financial Management,012 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Community Development,,003 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Development Communication,,004 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Electronics Technology,,005 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Entertainment and Multimedia,Digital Animation Technology,006 s. 2019
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Environmental Science,Environmental Heritage Studies,045 s. 2022
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Food Technology,,006 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Hospitality Management,,007 s. 2017
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Information Technology,,002 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Mathematics,,003 s. 2016
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Science in Nursing,,088 s. 2020
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Secondary Education,English,019 s. 2021
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Secondary Education,Filipino,019 s. 2021
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Secondary Education,Science,019 s. 2021
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Secondary Education,Mathematics,019 s. 2021
10 - Northern Mindanao,Bukidnon State University,Bachelor,Bachelor of Secondary Education,Social Studies,019 s. 2021
10 - Northern Mindanao,Bukidnon State University,Doctorate,Doctor of Philosophy in Institutional System Design,,183 s. 2021
