REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
01 - Ilocos Region,ABE International College of Business and Accountancy-Urdaneta City,Private,Pangasinan,City of Urdaneta,abe.edu.ph,(075) 568-8130,
01 - Ilocos Region,AMA Computer College-La Union,Private,La Union,City of San Fernando,http://www.amaes.edu.ph/,,
01 - Ilocos Region,AMA Computer College-Laoag City,Private,Ilocos Norte,City of Laoag,amaes.edu.ph,9570000000,
01 - Ilocos Region,AMA Computer College-Pangasinan,Private,Pangasinan,Calasiao,http://www.ama.edu.ph,075 202 1465,
01 - Ilocos Region,Asbury College,Private,Pangasinan,Anda,http://www.asbury college-anda.org,,
01 - Ilocos Region,Asiacareer College Foundation,Private,Pangasinan,City of Dagupan,,075 515 7685,
01 - Ilocos Region,Bayambang Polytechnic College,LUC,Pangasinan,Bayambang,,(075)-648-3886,
01 - Ilocos Region,Binalatongan Community College,LUC,Pangasinan,City of San Carlos,binalatongan.edu.ph,(075) 632-1538,
01 - Ilocos Region,CICOSAT Colleges,Private,La Union,City of San Fernando,cicosat.edu.ph,072-6875500,
01 - Ilocos Region,Colegio De San Juan De Letran-Manaoag,Private,Pangasinan,Manaoag,http://www.letran-manaoag.edu.ph,(075)-521-0121,
01 - Ilocos Region,Colegio San Jose De Alaminos,Private,Pangasinan,City of Alaminos,,(075) 202-5667,
01 - Ilocos Region,Dagupan Colleges Foundation,Private,Pangasinan,City of Dagupan,,(075)516-2554,
01 - Ilocos Region,Data Center College of the Philippines of Laoag City,Private,Ilocos Norte,City of Laoag,,(077) 772-0317 (077) 770-3652,
01 - Ilocos Region,Data Center College of the Philippines-Vigan City,Private,Ilocos Sur,City of Vigan,,(077) 679-1742,
01 - Ilocos Region,Divine Word College of Laoag,Private,Ilocos Norte,City of Laoag,http://www.dwcl.edu.ph,(077) 772-0736,
01 - Ilocos Region,Divine Word College of Urdaneta,Private,Pangasinan,City of Urdaneta,,(075) 632 - 0261,
01 - Ilocos Region,Divine Word College of Vigan,Private,Ilocos Sur,City of Vigan,,(077) 722-2043,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Mid La Union,SUC,La Union,City of San Fernando,http://www.dmmmsu-mluc.edu.ph,(072)-700-5453,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-North La Union-Main Campus,SUC,La Union,Bacnotan,dmmmsu-nluc.org,(072)682-2596,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Open University,SUC,La Union,City of San Fernando,http://www.dmmmsu-ous.org,(072) 242-3608,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-South La Union,SUC,La Union,Agoo,http://www.dmmmsu-sluc.com,(072) 682 0963,
01 - Ilocos Region,Golden West Colleges,Private,Pangasinan,City of Alaminos,,075-552-7382  0916-596-9881,
01 - Ilocos Region,Ilocos Sur Community College,LUC,Ilocos Sur,Bantay,iscc.edu.ph,,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Candon,SUC,Ilocos Sur,City of Candon,http://www.ispsc.edu.ph,(077) 742-5228; 0936-7282009,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Cervantes,SUC,Ilocos Sur,Cervantes,hjpb1020@gmail.com,,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,SUC,Ilocos Sur,Tagudin,http://www.ispsc.edu.ph,(077) 674-1474,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,SUC,Ilocos Sur,Santiago,http://www.ispsc.edu.ph,(077) 723-0295,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,SUC,Ilocos Sur,Narvacan,,,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Main Campus,SUC,Ilocos Sur,City of Candon,http://www.nlpsc.edu.ph,077-644-0210,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Sta. Maria,SUC,Ilocos Sur,Santa Maria,http://www.ispsc.edu.ph,(077) 732-5512,
01 - Ilocos Region,Immaculate Conception School of Theology,Private,Ilocos Sur,City of Vigan,icstvigan.org.ph,(077) 722-2359,
01 - Ilocos Region,International College for Excellence,Private,Pangasinan,City of Urdaneta,http://www.ice.edu.ph,(075)568-7660  (075)632-2662,
01 - Ilocos Region,Kingfisher School of Business & Finance,Private,Pangasinan,City of Dagupan,,(075) 515-4697,
01 - Ilocos Region,Kingsville Advanced School,Private,Pangasinan,Tayug,http://www.kingsville.edu.ph,(075) 636 1584,
01 - Ilocos Region,La Union Christian Comprehensive College,Private,La Union,Rosario,http://www. lucccollege.com,072-712-0140,
01 - Ilocos Region,La Union College of Science and Technology,Private,La Union,Bauang,lucst.edu,(072) 619-5325,
01 - Ilocos Region,Leading Edge International Aviation Academy,Private,La Union,City of San Fernando,http://www.leadingedge.com.ph/,(072)-607-58-69,
01 - Ilocos Region,Lorma Colleges,Private,La Union,City of San Fernando,http://www.lorma.edu,72-7002500,
01 - Ilocos Region,Luna Colleges,Private,Pangasinan,Tayug,,075-572-37-76,
01 - Ilocos Region,Lyceum Northern Luzon,Private,Pangasinan,City of Urdaneta,,(075)568-7963,
01 - Ilocos Region,Lyceum Northwestern University,Private,Pangasinan,City of Dagupan,http://www.lycem-edu.ph,(075) 515-8682  516-4416,
01 - Ilocos Region,Lyceum Northwestern University-Urdaneta Campus,Private,Pangasinan,City of Urdaneta,http://www.lyceum.edu.ph,,
01 - Ilocos Region,Malasiqui Agno Valley College,Private,Pangasinan,Malasiqui,,,
01 - Ilocos Region,Mariano Marcos State University-College of Agriculture and Forestry-Dingras,SUC,Ilocos Norte,Dingras,http://www.mmsu.edu.ph,(077)6000459  (077)7847083,
01 - Ilocos Region,Mariano Marcos State University-College of Aquatic Sciences and Applied Technology,SUC,Ilocos Norte,Currimao,http://www.mmsu.edu.ph,(077)6760005,
01 - Ilocos Region,Mariano Marcos State University-College of Industrial Technology-Laoag City,SUC,Ilocos Norte,City of Laoag,http://www.mmsu.edu.ph,(077)6000459  (077)7722716,
01 - Ilocos Region,Mariano Marcos State University-College of Teacher Education-Laoag City,SUC,Ilocos Norte,City of Laoag,http://www.mmsu.edu.ph,(077)6000459  (077)6707964,
01 - Ilocos Region,Mariano Marcos State University-Main,SUC,Ilocos Norte,City of Batac,http://www.mmsu.edu.ph,(077)6000459  (077) 792-3878  792 3507,
01 - Ilocos Region,Mary Cause of Our Joy College Seminary,Private,Ilocos Norte,Bacarra,,,
01 - Ilocos Region,Mary Help of Christians College Seminary,Private,Pangasinan,City of Dagupan,,075 529 9288,
01 - Ilocos Region,Mary Help of Christians Theology Seminary,Private,Pangasinan,San Fabian,mhcts.org,075-516-2241,
01 - Ilocos Region,Metro-Dagupan Colleges,Private,Pangasinan,Mangaldan,metrodagupancolleges.edu.ph,(075) 522-6367,
01 - Ilocos Region,Mystical Rose College of Science and Technology,Private,Pangasinan,Mangatarem,,(075) 632-3435,
01 - Ilocos Region,NICOSAT Colleges,Private,Ilocos Sur,City of Candon,,(077) 604-3681,
01 - Ilocos Region,NJ Valdez Colleges Foundation,Private,Pangasinan,Villasis,,(075) 633-8289,
01 - Ilocos Region,Northern Christian College,Private,Ilocos Norte,City of Laoag,http://www.ncc.edu.ph,(077)772-0052  (077)772-1864,
01 - Ilocos Region,Northern Luzon Adventist College,Private,Pangasinan,Sison,http://www.nlac.edu.ph,(075)524-7568  (075) 202-5928,
01 - Ilocos Region,Northern Philippines College for Maritime Science and Technology,Private,La Union,City of San Fernando,http://npcmst.edu.ph,(072) 242-56-7677,
01 - Ilocos Region,Northwestern University,Private,Ilocos Norte,City of Laoag,http://www. nwu.edu.ph,(077) 670-8607 to 10,
01 - Ilocos Region,Osias Educational Foundation,Private,La Union,Balaoan,,0888-07-05,
01 - Ilocos Region,Palaris College,Private,Pangasinan,City of San Carlos,Palaris Colleges Inc. (Official Facebook Page),(075) 633-8547,
01 - Ilocos Region,Pangasinan Merchant Marine Academy,Private,Pangasinan,City of Dagupan,pamma.edu.ph,(075) 529-59-89,
01 - Ilocos Region,Pangasinan Polytechnic College,LUC,Pangasinan,Lingayen,,(+63) 967 254 8365,
01 - Ilocos Region,Pangasinan State University,SUC,Pangasinan,Lingayen,http://www.psu.edu.ph,(075) 206-0804  (075) 542 4280  09055233675,
01 - Ilocos Region,Pangasinan State University-Alaminos City,SUC,Pangasinan,City of Alaminos,http://www.psu.edu.ph,(075) 633-8594,
01 - Ilocos Region,Pangasinan State University-Asingan,SUC,Pangasinan,Asingan,,,
01 - Ilocos Region,Pangasinan State University-Bayambang,SUC,Pangasinan,Bayambang,,,
01 - Ilocos Region,Pangasinan State University-Binmaley,SUC,Pangasinan,Binmaley,,,
01 - Ilocos Region,Pangasinan State University-Infanta,SUC,Pangasinan,Infanta,,,
01 - Ilocos Region,Pangasinan State University-Open University,SUC,Pangasinan,Lingayen,http://www.psu.edu.ph,(075) 542-6464; (075) 542-6467; (075) 542-6466; (075) 542-8694,
01 - Ilocos Region,Pangasinan State University-San Carlos City,SUC,Pangasinan,City of San Carlos,,,
01 - Ilocos Region,Pangasinan State University-Sta. Maria,SUC,Pangasinan,Santa Maria,,,
01 - Ilocos Region,Pangasinan State University-Urdaneta City,SUC,Pangasinan,City of Urdaneta,,,
01 - Ilocos Region,Panpacific University,Private,Pangasinan,City of Urdaneta,http://www.panpacificu.edu.ph,75 632 7278,
01 - Ilocos Region,Panpacific University North Philippines-Tayug,Private,Pangasinan,Tayug,https://punp.edu.ph/punptayugcampus/,(075) 523 9030,
01 - Ilocos Region,Pass College,Private,Pangasinan,City of Alaminos,,(075) 654-1020,
01 - Ilocos Region,Perpetual Help College of Pangasinan,Private,Pangasinan,Malasiqui,http://www.uphsl.edu.ph,,
01 - Ilocos Region,Philippine College of Northwestern Luzon,Private,La Union,Agoo,vicentedulayching@yahoo.com.uk,(072)-607-0406  (072)607-3883,
01 - Ilocos Region,Philippine College of Science and Technology,Private,Pangasinan,Calasiao,http://www.philcst.edu.ph,(075) 522-8032,
01 - Ilocos Region,Philippine Darakbang Theological College,Private,Pangasinan,Binalonan,http://www.wedarak.net,(075) 2021099,
01 - Ilocos Region,Philippine Remnant College,Private,La Union,Caba,,(072) 6074435,
01 - Ilocos Region,PHINMA-Upang College Urdaneta,Private,Pangasinan,City of Urdaneta,https://up.phinma.edu.ph,(075) 633-2806  09560483120,
01 - Ilocos Region,PIMSAT Colleges-Dagupan,Private,Pangasinan,City of Dagupan,,075 5409663,
01 - Ilocos Region,PIMSAT Colleges-San Carlos City,Private,Pangasinan,City of San Carlos,,075-5290-120,
01 - Ilocos Region,Polytechnic College of La union,Private,La Union,Agoo,,9170000000,
01 - Ilocos Region,Rosales-Wesleyan Bible College,Private,Pangasinan,Rosales,http://rwbc.edu.ph,075-636-2770,
01 - Ilocos Region,Saint Columban's College,Private,Pangasinan,Lingayen,,(075) 662 0385,
01 - Ilocos Region,Saint John Bosco College of Northern Luzon,Private,La Union,City of San Fernando,,(072) 619-3179,
01 - Ilocos Region,Saint Louis College-City of San Fernando,Private,La Union,City of San Fernando,http://www.slc-sflu.edu.ph,(072) 242 5535,
01 - Ilocos Region,Saint Mary's College Sta. Maria Ilocos Sur,Private,Ilocos Sur,Santa Maria,,077-674-62-10,
01 - Ilocos Region,Saint Paul College of Ilocos Sur,Private,Ilocos Sur,Bantay,http://www.spcis.edu.ph,(077) 674-2456,
01 - Ilocos Region,San Carlos College,Private,Pangasinan,City of San Carlos,http://www.sancarloscollege.edu.ph,(075) 636-1773  (075) 636-1776,
01 - Ilocos Region,Sea and Sky College,Private,La Union,City of San Fernando,,726000000,
01 - Ilocos Region,Señor Tesoro College,Private,Pangasinan,Calasiao,,(075) 529-9438,
01 - Ilocos Region,South Ilocandia College of Arts and Technology,Private,La Union,Aringay,,(072) 619-5487,
01 - Ilocos Region,St. Benedict College of Northern Luzon,Private,Ilocos Sur,City of Vigan,,077 604 2132,
01 - Ilocos Region,St. Camillus College of Manaoag Foundation,Private,Pangasinan,Manaoag,,(075) 529-1246,
01 - Ilocos Region,St. Therese College Foundation,Private,Pangasinan,City of San Carlos,http://www.facebook.com/STCFSanCarlosOfficial,(075) 633-9860,
01 - Ilocos Region,Sta. Catalina's College of Science and Technology,Private,Pangasinan,Umingan,,0998-8685-046,
01 - Ilocos Region,STI College-Dagupan,Private,Pangasinan,City of Dagupan,http://www.sti.edu.ph,075-653-3668,
01 - Ilocos Region,STI College-Laoag,Private,Ilocos Norte,City of Laoag,http://www.sti.edu,077 770 51-79,
01 - Ilocos Region,STI College-Vigan,Private,Ilocos Sur,City of Vigan,http://www.sti.edu.ph,(63) 9564602010,
01 - Ilocos Region,The Adelphi College,Private,Pangasinan,Lingayen,,075-6323661,
01 - Ilocos Region,The Great Plebeian College,Private,Pangasinan,City of Alaminos,,075-653-9637,
01 - Ilocos Region,Union Christian College,Private,La Union,City of San Fernando,http://www.ucc.edu.ph,729000000,
01 - Ilocos Region,Universidad de Dagupan,Private,Pangasinan,City of Dagupan,http://www.cdd.edu.ph,(075) 522-2504,
01 - Ilocos Region,University of Eastern Pangasinan,LUC,Pangasinan,Binalonan,uepbinalonan.edu.ph,(+63) 967-544-8582  (+63) 910-946-0141,
01 - Ilocos Region,University of Luzon,Private,Pangasinan,City of Dagupan,http://www.ul.edu.ph,(075) 5158177,
01 - Ilocos Region,University of Northern Philippines,SUC,Ilocos Sur,City of Vigan,http://www.unp.edu.ph,(077) 7222810,
01 - Ilocos Region,University of Pangasinan,Private,Pangasinan,City of Dagupan,http://www.up.phinma.edu.ph,(075) 522-5635  0995-078-5660,
01 - Ilocos Region,Urdaneta City University,LUC,Pangasinan,City of Urdaneta,http://www.ucu.edu.ph,(075) 5295223,
01 - Ilocos Region,Virgen Milagrosa University Foundation,Private,Pangasinan,City of San Carlos,vmuf.edu.ph,075-532-9999,
01 - Ilocos Region,WCC Aeronautical & Technological College,Private,Pangasinan,Binalonan,http://www.wccaviation.com/wcc-aeronautical-college/,756000000,
02 - Cagayan Valley,Aldersgate College,Private,Nueva Vizcaya,Solano,aldersgate-college.com,(078) 326-5085,
02 - Cagayan Valley,Isabela State University-Angadanan Campus,SUC,Isabela,Angadanan,,078-3254102,
02 - Cagayan Valley,Batanes State College,SUC,Batanes,Basco,http://www.bscbatanes.edu.ph,0930 534 9238,
02 - Cagayan Valley,University of Cagayan Valley,Private,Cagayan,Tuguegarao City,http://www.ucv.edu.ph,078-377-4618; 078-377-4617; 078-377-4616,
02 - Cagayan Valley,Cagayan State University-Tuguegarao (Carig),SUC,Cagayan,Tuguegarao City,,,
02 - Cagayan Valley,Isabela State University-Cauayan Campus,SUC,Isabela,City of Cauayan,http://www.isucauayan@isu.edu.ph,,
02 - Cagayan Valley,Cagayan State University-Aparri,SUC,Cagayan,Aparri,website: http://www.csu.edu.ph,(078) 888-0562/888-0786,
02 - Cagayan Valley,Cagayan State University-Gonzaga,SUC,Cagayan,Gonzaga,gonzaga.csu.edu.ph,NONE,
02 - Cagayan Valley,Cagayan State University-Lallo,SUC,Cagayan,Lal-Lo,lallo.csu.edu.ph,N/A,
02 - Cagayan Valley,Cagayan State University-Lasam,SUC,Cagayan,Lasam,http://www.csu.edu.ph,,
02 - Cagayan Valley,Cagayan State University-Piat,SUC,Cagayan,Piat,,,
02 - Cagayan Valley,Cagayan State University-Sanchez Mira,SUC,Cagayan,Sanchez-Mira,http://www.csusm.edu.ph,(078) 375-2650 - 54 local 1001-1018,
02 - Cagayan Valley,Isabela State University-San Mariano Campus,SUC,Isabela,San Mariano,,0917-5527584,
02 - Cagayan Valley,Eveland Christian College,Private,Isabela,San Mateo,,none,
02 - Cagayan Valley,Isabela Colleges,Private,Isabela,City of Cauayan,http://isabela.colleges.tripod.com,(078) 652-3541,
02 - Cagayan Valley,Isabela State University-Main (Echague),SUC,Isabela,Echague,http://www.isu.edu.ph,(078) 305-9013,
02 - Cagayan Valley,Isabela State University-Cabagan,SUC,Isabela,Cabagan,http://www.isucabagan.edu.ph,None,
02 - Cagayan Valley,Isabela State University-Ilagan Campus,SUC,Isabela,City of Ilagan,isu.ilagan.edu.ph,(078) 325-2637,
02 - Cagayan Valley,Isabela State University-Jones Campus,SUC,Isabela,Jones,http://www.isu.edu.ph,N/A,
02 - Cagayan Valley,Isabela State University-Roxas Campus,SUC,Isabela,Roxas,https://isuroxas.edu.ph/,NONE,
02 - Cagayan Valley,Isabela State University-San Mateo Campus,SUC,Isabela,San Mateo,http://www.isu.edu.ph,(078)0000-000,
02 - Cagayan Valley,University of La Salette,Private,Isabela,City of Santiago,http://www.uls.edu.ph,078-682-4771,
02 - Cagayan Valley,Lyceum of Aparri,Private,Cagayan,Aparri,,(078)-888-2075,
02 - Cagayan Valley,Lyceum of Tuao,Private,Cagayan,Tuao,,0975-173-5370,
02 - Cagayan Valley,Medical Colleges of Northern Philippines,Private,Cagayan,Peñablanca,http://www.mcnp.edu.ph,(078) 304-1010,
02 - Cagayan Valley,Northeastern College,Private,Isabela,City of Santiago,http://www.northeasterncollege.edu.ph,078-682-8454,
02 - Cagayan Valley,Northern Cagayan Colleges Foundation,Private,Cagayan,Ballesteros,,,
